bname,growth_potential,creativity,transformative_potential,leveraging_collaboration,risk_immunity,overall_score,opponent,opponent_score
EcoSoberBrews,9,6,7,8,7,74,Sustainable_Threads,78
Sustainable_Threads,8,7,8,9,7,78,EcoSoberBrews,74
Anywhere_Hub,8,4,6,8,7,68,Dungeon_AI,76
Dungeon_AI,7,8,7,9,7,76,Anywhere_Hub,68
AI_Unbound,8,7,6,9,6,68,ConversAI,80
ConversAI,9,6,7,8,8,80,AI_Unbound,68
The_Coloring_Nook,8,7,6,9,7,76,Liang_Design,72
Liang_Design,6,8,5,9,8,72,The_Coloring_Nook,76
The_DevOps_Droid,8,5,4,9,6,64,tinynews.ai,74
tinynews.ai,7,8,6,9,7,74,The_DevOps_Droid,64
TweetSphere,9,5,8,9,7,78,Astronomik,88
Astronomik,8,8,9,9,8,88,TweetSphere,78
ChatCode_Tutor,9,7,6,8,7,74,SpeakSphere,73
SpeakSphere,8,8,7,8,6,73,ChatCode_Tutor,74
Herizon.io,9,8,9,9,7,88,Restimuli,76
Restimuli,8,7,7,8,8,76,Herizon.io,88
HigherEd.Tech,9,7,8,9,7,80,Iris_AI,82
Iris_AI,8,9,7,9,8,82,HigherEd.Tech,80
Prodigy_Minds,8,6,7,9,6,68,upskillgpt,80
upskillgpt,9,7,8,9,7,80,Prodigy_Minds,68
myGPTsherpa,8,7,6,8,6,70,GPTbotwealth,77
GPTbotwealth,9,6,7,8,7,77,myGPTsherpa,70
HarmonAIze_Project,8,7,7,8,6,72,FitLifeForge,66
FitLifeForge,7,6,6,8,6,66,HarmonAIze_Project,72
Grow_Wise,8,6,7,9,7,76,EndeavorDAO,68
EndeavorDAO,7,8,6,9,6,68,Grow_Wise,76
TruPetParent,8,6,5,8,6,65,The_Iron_Ager,80
The_Iron_Ager,9,8,7,9,7,80,TruPetParent,65
The_AI_Chef,8,6,7,9,6,72,DearAIbby,76
DearAIbby,7,7,8,9,7,76,The_AI_Chef,72
SylvanStride,8,7,7,9,6,70,SuperDroid_Robots,82
SuperDroid_Robots,9,8,8,9,7,82,SylvanStride,70
GPT-4_Mastery,8,5,4,8,6,62,Let_AI_Try,80
Let_AI_Try,7,8,9,9,7,80,GPT-4_Mastery,62
FitGPT,8,7,6,9,7,76,smarterhometechnology,86
smarterhometechnology,9,6,8,8,8,86,FitGPT,76
GameDevGPT,9,9,8,9,7,86,Neon_Lights,86
Neon_Lights,8,9,9,8,7,86,GameDevGPT,86
Aidan_Virtuoso,8,6,7,8,6,70,Validate_OK,68
Validate_OK,7,7,6,8,7,68,Aidan_Virtuoso,70
Epochs_of_Pepe,8,9,7,9,6,78,UNSubscribe,86
UNSubscribe,9,7,8,9,8,86,Epochs_of_Pepe,78
FitnessGPT,8,6,7,9,6,68,ConversAI,80
ConversAI,9,7,6,8,8,80,FitnessGPT,68
Vulnerable_Targets,8,7,7,9,7,76,Atlas_Adventures,72
Atlas_Adventures,7,6,8,8,7,72,Vulnerable_Targets,76
Custom_Text-to-3DPrint_Service,8,7,6,9,6,68,TheAIGameMaker,80
TheAIGameMaker,9,8,7,9,7,80,Custom_Text-to-3DPrint_Service,68
OnEdge,8,7,6,8,5,68,HappyBodyHub,80
HappyBodyHub,9,8,7,9,7,80,OnEdge,68
InterTwined_Being_Consulting,8,9,8,9,7,82,Dungeon_AI,84
Dungeon_AI,9,8,7,8,8,84,InterTwined_Being_Consulting,82
The_Coloring_Nook,8,7,6,9,6,68,Sustainable_Threads,78
Sustainable_Threads,9,6,8,9,7,78,The_Coloring_Nook,68
Sustainable_Chef,8,6,7,9,7,74,Rave_Resource,76
Rave_Resource,7,8,6,9,8,76,Sustainable_Chef,74
Second_Brain_OS,8,6,6,8,7,70,Black_Gold_Beauty,80
Black_Gold_Beauty,9,7,8,8,8,80,Second_Brain_OS,70
Automa,8,6,5,8,6,66,Coolman,77
Coolman,7,7,8,8,7,77,Automa,66
AI_Unbound,9,8,7,9,7,78,EcoSoberBrews,77
EcoSoberBrews,8,7,8,8,8,77,AI_Unbound,78
Realtor's_Docs,8,5,4,8,6,62,tinynews.ai,78
tinynews.ai,9,8,6,9,7,78,Realtor's_Docs,62
VisionCraft_Productions,8,6,5,8,7,68,Pitch_Architect,80
Pitch_Architect,9,8,6,9,8,80,VisionCraft_Productions,68
Anywhere_Hub,8,5,6,8,7,68,Liang_Design,64
Liang_Design,6,8,4,8,6,64,Anywhere_Hub,68
Astronomik,9,7,8,9,7,82,Herizon.io,82
Herizon.io,7,8,9,9,8,82,Astronomik,82
Iris_AI,9,8,8,9,7,80,TweetSphere,87
TweetSphere,8,9,10,9,7,87,Iris_AI,80
upskillgpt,9,7,7,9,6,76,ChatCode_Tutor,80
ChatCode_Tutor,8,8,8,9,7,80,upskillgpt,76
GPTbotwealth,8,6,6,8,7,70,SpeakSphere,80
SpeakSphere,9,8,7,8,8,80,GPTbotwealth,70
Let_AI_Try,8,8,9,10,7,82,HigherEd.Tech,84
HigherEd.Tech,9,7,7,9,8,84,Let_AI_Try,82
SuperDroid_Robots,9,7,8,9,7,82,DearAIbby,77
DearAIbby,7,8,7,9,8,77,SuperDroid_Robots,82
HarmonAIze_Project,9,8,8,9,7,82,Grow_Wise,77
Grow_Wise,8,7,7,9,8,77,HarmonAIze_Project,82
smarterhometechnology,9,6,7,9,8,78,The_Iron_Ager,77
The_Iron_Ager,8,8,7,9,7,77,smarterhometechnology,78
Restimuli,8,5,6,8,7,68,Prodigy_Minds,77
Prodigy_Minds,7,7,7,9,7,77,Restimuli,68
FitLifeForge,8,6,7,8,6,70,Aidan_Virtuoso,76
Aidan_Virtuoso,7,8,8,8,7,76,FitLifeForge,70
myGPTsherpa,8,6,7,8,6,70,UNSubscribe,80
UNSubscribe,9,7,6,9,8,80,myGPTsherpa,70
GPT-4_Mastery,8,5,6,8,6,66,Sustainable_Threads,78
Sustainable_Threads,9,7,8,8,7,78,GPT-4_Mastery,66
The_AI_Chef,8,6,7,9,6,68,FitGPT,80
FitGPT,9,7,8,9,7,80,The_AI_Chef,68
TruPetParent,8,7,6,8,5,68,EndeavorDAO,80
EndeavorDAO,9,8,7,9,7,80,TruPetParent,68
Rave_Resource,8,7,6,8,6,70,TheAIGameMaker,80
TheAIGameMaker,9,8,7,9,7,80,Rave_Resource,70
ConversAI,9,4,5,9,8,70,SylvanStride,77
SylvanStride,8,8,7,9,7,77,ConversAI,70
Vulnerable_Targets,8,7,8,9,7,76,HappyBodyHub,82
HappyBodyHub,9,8,7,9,8,82,Vulnerable_Targets,76
Dungeon_AI,8,7,6,9,6,72,GameDevGPT,76
GameDevGPT,7,9,7,9,7,76,Dungeon_AI,72
Neon_Lights,9,8,7,9,7,80,Black_Gold_Beauty,77
Black_Gold_Beauty,8,6,8,9,8,77,Neon_Lights,80
Validate_OK,8,6,5,8,7,68,Epochs_of_Pepe,76
Epochs_of_Pepe,9,8,7,8,6,76,Validate_OK,68
tinynews.ai,8,6,5,8,7,64,Pitch_Architect,78
Pitch_Architect,9,8,6,8,8,78,tinynews.ai,64
InterTwined_Being_Consulting,8,9,8,9,7,82,FitnessGPT,84
FitnessGPT,9,7,7,9,8,84,InterTwined_Being_Consulting,82
Second_Brain_OS,8,7,6,9,7,74,OnEdge,68
OnEdge,7,8,5,9,6,68,Second_Brain_OS,74
The_Coloring_Nook,8,7,5,9,6,70,Atlas_Adventures,88
Atlas_Adventures,9,8,8,9,7,88,The_Coloring_Nook,70
Coolman,7,4,3,8,5,54,Sustainable_Chef,76
Sustainable_Chef,8,6,5,8,7,76,Coolman,54
Custom_Text-to-3DPrint_Service,8,7,6,8,6,70,Anywhere_Hub,77
Anywhere_Hub,9,6,7,8,7,77,Custom_Text-to-3DPrint_Service,70
The_DevOps_Droid,8,4,5,9,7,68,AI_Unbound,76
AI_Unbound,7,8,6,9,8,76,The_DevOps_Droid,68
Automa,8,5,4,9,6,64,EcoSoberBrews,76
EcoSoberBrews,7,7,8,8,7,76,Automa,64
VisionCraft_Productions,8,7,6,9,6,72,Realtor's_Docs,66
Realtor's_Docs,7,6,5,8,7,66,VisionCraft_Productions,72
TweetSphere,9,6,8,9,7,78,HarmonAIze_Project,82
HarmonAIze_Project,7,8,9,9,8,82,TweetSphere,78
Astronomik,9,7,8,9,7,82,SpeakSphere,80
SpeakSphere,8,8,7,9,8,80,Astronomik,82
ChatCode_Tutor,9,7,6,9,8,78,Herizon.io,80
Herizon.io,8,9,8,9,7,80,ChatCode_Tutor,78
SuperDroid_Robots,9,7,8,9,7,80,Iris_AI,80
Iris_AI,8,9,7,8,8,80,SuperDroid_Robots,80
HigherEd.Tech,8,5,6,8,6,66,Prodigy_Minds,72
Prodigy_Minds,7,7,7,8,7,72,HigherEd.Tech,66
smarterhometechnology,9,6,8,9,8,80,GPTbotwealth,77
GPTbotwealth,8,8,7,9,7,77,smarterhometechnology,80
The_Iron_Ager,9,6,7,9,7,76,Aidan_Virtuoso,80
Aidan_Virtuoso,8,7,8,9,8,80,The_Iron_Ager,76
upskillgpt,9,7,7,9,6,76,UNSubscribe,76
UNSubscribe,8,8,6,9,7,76,upskillgpt,76
Restimuli,8,6,7,9,7,74,Grow_Wise,76
Grow_Wise,7,7,8,9,7,76,Restimuli,74
TheAIGameMaker,8,6,7,8,6,70,FitGPT,80
FitGPT,9,7,8,9,7,80,TheAIGameMaker,70
HappyBodyHub,8,6,5,8,6,66,SylvanStride,74
SylvanStride,7,8,6,9,7,74,HappyBodyHub,66
DearAIbby,8,5,6,9,7,68,GameDevGPT,82
GameDevGPT,9,8,7,9,8,82,DearAIbby,68
Let_AI_Try,8,7,8,9,7,76,EndeavorDAO,78
EndeavorDAO,9,8,7,9,6,78,Let_AI_Try,76
Sustainable_Threads,8,7,8,9,6,76,Neon_Lights,88
Neon_Lights,9,9,7,8,7,88,Sustainable_Threads,76
FitLifeForge,8,6,7,8,6,70,myGPTsherpa,70
myGPTsherpa,7,8,6,8,7,70,FitLifeForge,70
Rave_Resource,8,6,7,8,6,70,Dungeon_AI,82
Dungeon_AI,9,8,8,9,7,82,Rave_Resource,70
Epochs_of_Pepe,8,7,6,8,5,68,ConversAI,88
ConversAI,9,6,7,9,8,88,Epochs_of_Pepe,68
FitnessGPT,8,6,7,9,6,72,Sustainable_Chef,76
Sustainable_Chef,7,8,8,8,7,76,FitnessGPT,72
The_AI_Chef,8,7,6,9,7,76,Atlas_Adventures,76
Atlas_Adventures,7,6,8,9,8,76,The_AI_Chef,76
Pitch_Architect,9,7,6,8,7,74,TruPetParent,76
TruPetParent,8,8,7,8,7,76,Pitch_Architect,74
GPT-4_Mastery,8,4,3,7,5,54,Vulnerable_Targets,76
Vulnerable_Targets,7,8,8,8,7,76,GPT-4_Mastery,54
Anywhere_Hub,8,5,6,8,7,68,Second_Brain_OS,68
Second_Brain_OS,7,8,7,8,6,68,Anywhere_Hub,68
Black_Gold_Beauty,8,7,6,8,7,72,AI_Unbound,74
AI_Unbound,6,9,7,9,6,74,Black_Gold_Beauty,72
Coolman,8,5,6,8,6,66,EcoSoberBrews,68
EcoSoberBrews,7,6,7,7,7,68,Coolman,66
Validate_OK,8,6,5,8,7,68,VisionCraft_Productions,80
VisionCraft_Productions,9,8,6,9,8,80,Validate_OK,68
The_Coloring_Nook,8,6,3,8,6,62,InterTwined_Being_Consulting,80
InterTwined_Being_Consulting,7,8,9,9,7,80,The_Coloring_Nook,62
tinynews.ai,8,6,7,9,6,72,Custom_Text-to-3DPrint_Service,70
Custom_Text-to-3DPrint_Service,7,8,6,9,7,70,tinynews.ai,72
OnEdge,8,7,6,9,6,72,Liang_Design,70
Liang_Design,6,8,5,9,7,70,OnEdge,72
Automa,8,6,7,9,6,68,The_DevOps_Droid,79
The_DevOps_Droid,9,7,7,9,7,79,Automa,68
Astronomik,9,7,8,9,7,80,HarmonAIze_Project,80
HarmonAIze_Project,8,8,7,9,8,80,Astronomik,80
Herizon.io,9,7,9,9,8,86,Prodigy_Minds,78
Prodigy_Minds,8,8,7,9,7,78,Herizon.io,86
ChatCode_Tutor,9,8,8,9,7,82,Iris_AI,87
Iris_AI,8,9,9,9,8,87,ChatCode_Tutor,82
SuperDroid_Robots,9,7,8,9,6,78,SpeakSphere,76
SpeakSphere,8,8,7,8,7,76,SuperDroid_Robots,78
TweetSphere,9,6,8,9,7,78,Aidan_Virtuoso,86
Aidan_Virtuoso,8,8,9,9,8,86,TweetSphere,78
smarterhometechnology,9,6,8,9,8,80,SylvanStride,78
SylvanStride,8,9,7,9,7,78,smarterhometechnology,80
Grow_Wise,9,7,8,9,7,80,HigherEd.Tech,84
HigherEd.Tech,8,8,9,9,8,84,Grow_Wise,80
EndeavorDAO,8,7,6,9,6,68,FitGPT,80
FitGPT,9,8,7,9,7,80,EndeavorDAO,68
Neon_Lights,9,8,7,9,6,78,UNSubscribe,73
UNSubscribe,8,7,6,8,8,73,Neon_Lights,78
GameDevGPT,9,8,7,9,7,80,upskillgpt,82
upskillgpt,8,9,8,9,8,82,GameDevGPT,80
Sustainable_Chef,8,6,7,9,7,70,HappyBodyHub,82
HappyBodyHub,9,8,7,9,8,82,Sustainable_Chef,70
The_Iron_Ager,8,6,6,9,5,68,Let_AI_Try,77
Let_AI_Try,6,8,9,9,7,77,The_Iron_Ager,68
GPTbotwealth,8,5,6,8,7,68,Sustainable_Threads,75
Sustainable_Threads,7,7,8,8,7,75,GPTbotwealth,68
Dungeon_AI,9,7,6,9,7,78,DearAIbby,76
DearAIbby,8,6,7,9,8,76,Dungeon_AI,78
TheAIGameMaker,8,7,6,9,6,72,Restimuli,74
Restimuli,7,6,8,9,7,74,TheAIGameMaker,72
ConversAI,9,6,5,9,8,76,Vulnerable_Targets,78
Vulnerable_Targets,8,8,9,9,7,78,ConversAI,76
TruPetParent,8,6,6,8,5,66,myGPTsherpa,74
myGPTsherpa,7,8,7,9,6,74,TruPetParent,66
AI_Unbound,9,8,7,9,7,80,Epochs_of_Pepe,84
Epochs_of_Pepe,8,9,8,9,8,84,AI_Unbound,80
FitLifeForge,8,6,7,9,6,72,The_AI_Chef,70
The_AI_Chef,7,8,6,9,7,70,FitLifeForge,72
Anywhere_Hub,8,5,6,8,7,68,Atlas_Adventures,75
Atlas_Adventures,7,7,8,8,7,75,Anywhere_Hub,68
Second_Brain_OS,8,7,6,8,6,70,EcoSoberBrews,80
EcoSoberBrews,9,8,7,8,8,80,Second_Brain_OS,70
OnEdge,7,5,3,8,6,58,InterTwined_Being_Consulting,78
InterTwined_Being_Consulting,6,8,9,9,7,78,OnEdge,58
GPT-4_Mastery,8,4,5,7,6,60,Pitch_Architect,77
Pitch_Architect,9,7,6,8,7,77,GPT-4_Mastery,60
VisionCraft_Productions,8,5,4,9,6,64,tinynews.ai,74
tinynews.ai,7,8,6,9,7,74,VisionCraft_Productions,64
Rave_Resource,8,6,7,8,6,70,FitnessGPT,80
FitnessGPT,9,7,8,9,7,80,Rave_Resource,70
Black_Gold_Beauty,9,7,8,9,7,80,Coolman,78
Coolman,8,6,9,8,8,78,Black_Gold_Beauty,80
The_DevOps_Droid,8,6,5,9,6,68,Validate_OK,76
Validate_OK,7,8,7,9,7,76,The_DevOps_Droid,68
Custom_Text-to-3DPrint_Service,8,7,6,9,5,72,The_Coloring_Nook,72
The_Coloring_Nook,7,8,6,9,6,72,Custom_Text-to-3DPrint_Service,72
Realtor's_Docs,8,5,4,8,6,62,Liang_Design,64
Liang_Design,7,8,3,9,7,64,Realtor's_Docs,62
FitLifeForge,8,6,7,8,6,70,UNSubscribe,68
UNSubscribe,7,7,6,8,7,68,FitLifeForge,70
HappyBodyHub,8,5,6,8,6,66,myGPTsherpa,76
myGPTsherpa,7,8,7,9,7,76,HappyBodyHub,66
Epochs_of_Pepe,8,9,6,9,7,78,Atlas_Adventures,80
Atlas_Adventures,7,8,8,9,8,80,Epochs_of_Pepe,78
EcoSoberBrews,8,6,7,8,7,72,GPTbotwealth,80
GPTbotwealth,9,8,8,8,7,80,EcoSoberBrews,72
InterTwined_Being_Consulting,8,9,8,9,7,82,TheAIGameMaker,84
TheAIGameMaker,9,8,7,8,8,84,InterTwined_Being_Consulting,82
TruPetParent,8,6,7,8,6,70,FitnessGPT,80
FitnessGPT,9,7,8,9,7,80,TruPetParent,70
tinynews.ai,8,6,5,9,6,68,Sustainable_Chef,72
Sustainable_Chef,7,8,7,8,7,72,tinynews.ai,68
DearAIbby,7,5,6,8,6,64,ConversAI,72
ConversAI,8,6,5,8,7,72,DearAIbby,64
The_Iron_Ager,8,6,7,8,6,70,Pitch_Architect,80
Pitch_Architect,9,8,6,9,7,80,The_Iron_Ager,70
The_AI_Chef,8,6,5,8,6,66,Validate_OK,70
Validate_OK,7,7,6,8,7,70,The_AI_Chef,66
Black_Gold_Beauty,8,6,6,8,7,70,Anywhere_Hub,82
Anywhere_Hub,9,7,7,8,8,82,Black_Gold_Beauty,70
Second_Brain_OS,8,6,6,9,7,68,AI_Unbound,68
AI_Unbound,7,8,5,9,6,68,Second_Brain_OS,68
GPT-4_Mastery,8,4,5,8,6,62,Rave_Resource,74
Rave_Resource,7,8,7,8,7,74,GPT-4_Mastery,62
VisionCraft_Productions,8,6,5,8,6,66,OnEdge,72
OnEdge,7,8,6,8,7,72,VisionCraft_Productions,66
The_DevOps_Droid,8,5,4,8,6,62,Coolman,77
Coolman,7,7,8,8,7,77,The_DevOps_Droid,62
Liang_Design,8,6,5,9,7,70,Custom_Text-to-3DPrint_Service,82
Custom_Text-to-3DPrint_Service,9,8,7,9,8,82,Liang_Design,70
The_Coloring_Nook,8,7,6,9,6,68,Automa,80
Automa,9,8,7,9,7,80,The_Coloring_Nook,68
Herizon.io,9,7,8,9,7,80,Aidan_Virtuoso,70
Aidan_Virtuoso,8,6,7,8,6,70,Herizon.io,80
HarmonAIze_Project,9,8,8,9,7,80,smarterhometechnology,76
smarterhometechnology,8,7,7,8,8,76,HarmonAIze_Project,80
Astronomik,9,7,8,9,7,80,Iris_AI,80
