bname,growth_potential,creativity,transformative_potential,leveraging_collaboration,risk_immunity,overall_score,opponent,opponent_score
Iris_AI,8,9,7,8,8,80,Astronomik,80
SuperDroid_Robots,8,6,7,8,6,70,TweetSphere,85
TweetSphere,9,8,9,9,7,85,SuperDroid_Robots,70
FitGPT,8,6,7,8,6,70,HigherEd.Tech,80
HigherEd.Tech,9,7,8,9,7,80,FitGPT,70
FitLifeForge,8,6,7,8,6,70,Neon_Lights,80
Neon_Lights,9,8,8,8,7,80,FitLifeForge,70
Prodigy_Minds,8,6,7,9,6,72,myGPTsherpa,72
myGPTsherpa,7,8,6,8,7,72,Prodigy_Minds,72
ChatCode_Tutor,9,7,7,9,8,80,Atlas_Adventures,82
Atlas_Adventures,8,8,9,9,7,82,ChatCode_Tutor,80
upskillgpt,8,6,7,9,6,68,GPTbotwealth,80
GPTbotwealth,9,7,8,9,7,80,upskillgpt,68
Sustainable_Threads,8,6,7,8,6,70,FitnessGPT,82
FitnessGPT,9,8,8,9,7,82,Sustainable_Threads,70
Pitch_Architect,9,7,6,8,7,76,HappyBodyHub,74
HappyBodyHub,8,6,7,8,8,74,Pitch_Architect,76
Restimuli,8,6,7,9,7,70,GameDevGPT,80
GameDevGPT,9,8,6,9,8,80,Restimuli,70
Sustainable_Chef,8,6,7,9,7,74,Vulnerable_Targets,80
Vulnerable_Targets,7,8,8,9,8,80,Sustainable_Chef,74
SpeakSphere,8,6,5,9,7,70,Let_AI_Try,84
Let_AI_Try,7,8,9,10,8,84,SpeakSphere,70
ConversAI,9,5,6,9,8,76,EndeavorDAO,76
EndeavorDAO,8,8,7,9,6,76,ConversAI,76
Dungeon_AI,8,6,5,9,6,68,SylvanStride,70
SylvanStride,7,8,6,9,7,70,Dungeon_AI,68
TheAIGameMaker,9,7,6,9,7,76,Grow_Wise,82
Grow_Wise,8,8,8,9,8,82,TheAIGameMaker,76
Epochs_of_Pepe,8,7,6,8,5,68,Anywhere_Hub,77
Anywhere_Hub,9,6,7,8,7,77,Epochs_of_Pepe,68
UNSubscribe,8,5,4,8,7,68,EcoSoberBrews,76
EcoSoberBrews,7,7,8,8,8,76,UNSubscribe,68
The_Iron_Ager,9,6,7,9,6,74,Validate_OK,77
Validate_OK,8,8,7,9,7,77,The_Iron_Ager,74
InterTwined_Being_Consulting,8,9,8,9,7,80,tinynews.ai,78
tinynews.ai,9,7,6,9,8,78,InterTwined_Being_Consulting,80
Rave_Resource,8,6,7,9,6,72,DearAIbby,70
DearAIbby,7,8,6,9,7,70,Rave_Resource,72
TruPetParent,8,7,6,8,5,68,OnEdge,68
OnEdge,7,8,6,9,6,68,TruPetParent,68
Second_Brain_OS,8,6,7,9,6,68,The_AI_Chef,78
The_AI_Chef,9,8,7,8,7,78,Second_Brain_OS,68
AI_Unbound,9,8,6,9,7,78,Coolman,80
Coolman,8,7,8,9,8,80,AI_Unbound,78
Black_Gold_Beauty,9,7,8,9,7,80,Automa,80
Automa,8,8,7,9,8,80,Black_Gold_Beauty,80
GPT-4_Mastery,8,4,5,8,6,62,VisionCraft_Productions,78
VisionCraft_Productions,9,7,6,9,7,78,GPT-4_Mastery,62
Custom_Text-to-3DPrint_Service,8,7,6,9,6,72,Realtor's_Docs,66
Realtor's_Docs,7,6,5,8,7,66,Custom_Text-to-3DPrint_Service,72
Liang_Design,8,7,5,9,7,72,The_DevOps_Droid,82
The_DevOps_Droid,9,8,7,9,8,82,Liang_Design,72
Herizon.io,9,8,9,9,8,86,HigherEd.Tech,76
HigherEd.Tech,8,7,7,9,7,76,Herizon.io,86
HarmonAIze_Project,9,8,8,9,7,82,Iris_AI,80
Iris_AI,8,9,7,9,8,80,HarmonAIze_Project,82
Astronomik,9,7,8,9,7,80,Neon_Lights,76
Neon_Lights,8,9,7,8,6,76,Astronomik,80
GPTbotwealth,8,6,7,9,7,70,SuperDroid_Robots,85
SuperDroid_Robots,9,8,8,9,8,85,GPTbotwealth,70
TweetSphere,9,6,8,9,7,78,Atlas_Adventures,88
Atlas_Adventures,8,8,9,9,8,88,TweetSphere,78
Aidan_Virtuoso,8,7,7,9,6,70,smarterhometechnology,80
smarterhometechnology,9,6,8,8,7,80,Aidan_Virtuoso,70
GameDevGPT,9,8,7,9,7,78,Let_AI_Try,84
Let_AI_Try,7,9,8,10,8,84,GameDevGPT,78
SylvanStride,8,6,7,9,6,72,myGPTsherpa,68
myGPTsherpa,7,7,6,9,7,68,SylvanStride,72
Pitch_Architect,9,7,6,9,7,76,FitnessGPT,80
FitnessGPT,8,8,7,9,8,80,Pitch_Architect,76
Prodigy_Minds,8,6,7,9,6,68,Grow_Wise,82
Grow_Wise,9,7,8,9,8,82,Prodigy_Minds,68
FitGPT,8,6,5,9,6,68,Vulnerable_Targets,78
Vulnerable_Targets,7,8,8,9,7,78,FitGPT,68
FitLifeForge,9,6,7,9,7,76,upskillgpt,80
upskillgpt,8,7,8,9,8,80,FitLifeForge,76
ChatCode_Tutor,9,7,7,9,8,80,Anywhere_Hub,70
Anywhere_Hub,8,6,6,8,7,70,ChatCode_Tutor,80
SpeakSphere,8,7,6,8,7,72,EndeavorDAO,70
EndeavorDAO,7,8,7,9,6,70,SpeakSphere,72
Validate_OK,8,6,5,8,7,68,EcoSoberBrews,82
EcoSoberBrews,9,7,8,7,8,82,Validate_OK,68
ConversAI,9,5,6,9,8,76,Rave_Resource,78
Rave_Resource,7,8,8,9,7,78,ConversAI,76
HappyBodyHub,8,6,7,8,6,70,Dungeon_AI,74
Dungeon_AI,7,8,6,9,7,74,HappyBodyHub,70
Sustainable_Threads,9,7,8,9,7,80,Sustainable_Chef,77
Sustainable_Chef,8,8,7,8,8,77,Sustainable_Threads,80
Restimuli,8,4,6,8,7,68,InterTwined_Being_Consulting,74
InterTwined_Being_Consulting,6,8,7,10,6,74,Restimuli,68
TheAIGameMaker,9,7,6,8,7,74,UNSubscribe,80
UNSubscribe,8,8,7,9,8,80,TheAIGameMaker,74
Custom_Text-to-3DPrint_Service,8,7,6,9,6,72,OnEdge,72
OnEdge,7,8,6,9,7,72,Custom_Text-to-3DPrint_Service,72
The_AI_Chef,8,7,6,9,6,72,TruPetParent,76
TruPetParent,7,8,7,9,7,76,The_AI_Chef,72
The_Iron_Ager,8,6,7,9,6,68,Epochs_of_Pepe,78
Epochs_of_Pepe,9,8,6,9,7,78,The_Iron_Ager,68
Coolman,8,4,6,9,7,68,tinynews.ai,74
tinynews.ai,7,8,5,9,8,74,Coolman,68
Black_Gold_Beauty,9,7,8,9,7,80,VisionCraft_Productions,80
VisionCraft_Productions,8,8,7,9,8,80,Black_Gold_Beauty,80
Second_Brain_OS,8,6,7,8,6,70,Automa,80
Automa,9,7,8,9,7,80,Second_Brain_OS,70
DearAIbby,8,5,6,9,7,68,AI_Unbound,70
AI_Unbound,7,8,5,9,6,70,DearAIbby,68
The_Coloring_Nook,8,7,6,9,6,68,The_DevOps_Droid,78
The_DevOps_Droid,9,6,7,9,8,78,The_Coloring_Nook,68
Realtor's_Docs,8,5,4,8,6,62,GPT-4_Mastery,80
GPT-4_Mastery,9,8,7,9,7,80,Realtor's_Docs,62
Astronomik,9,7,8,9,7,80,Atlas_Adventures,80
Atlas_Adventures,8,6,9,9,8,80,Astronomik,80
HarmonAIze_Project,8,7,7,8,6,70,SuperDroid_Robots,82
SuperDroid_Robots,9,8,8,9,7,82,HarmonAIze_Project,70
Herizon.io,8,7,8,9,7,76,smarterhometechnology,80
smarterhometechnology,9,6,7,8,8,80,Herizon.io,76
Vulnerable_Targets,8,7,8,9,7,76,FitnessGPT,82
FitnessGPT,9,8,7,9,8,82,Vulnerable_Targets,76
SylvanStride,9,7,6,8,7,76,Grow_Wise,76
Grow_Wise,8,6,7,9,8,76,SylvanStride,76
Let_AI_Try,8,7,8,9,7,76,TweetSphere,86
TweetSphere,9,8,9,9,8,86,Let_AI_Try,76
HigherEd.Tech,8,6,7,8,6,70,Neon_Lights,70
Neon_Lights,7,8,6,8,7,70,HigherEd.Tech,70
upskillgpt,9,7,8,9,7,80,Iris_AI,78
Iris_AI,8,9,7,9,8,78,upskillgpt,80
Aidan_Virtuoso,8,6,7,9,6,68,SpeakSphere,82
SpeakSphere,9,8,8,9,7,82,Aidan_Virtuoso,68
ChatCode_Tutor,9,7,7,9,8,78,GPTbotwealth,71
GPTbotwealth,8,6,6,8,7,71,ChatCode_Tutor,78
FitGPT,9,7,7,9,6,76,Sustainable_Threads,82
Sustainable_Threads,8,8,9,9,7,82,FitGPT,76
myGPTsherpa,8,6,7,8,6,70,Pitch_Architect,80
Pitch_Architect,9,8,6,9,7,80,myGPTsherpa,70
Rave_Resource,8,6,7,8,6,70,Prodigy_Minds,80
Prodigy_Minds,9,7,8,9,7,80,Rave_Resource,70
InterTwined_Being_Consulting,8,9,8,10,7,80,GameDevGPT,88
GameDevGPT,9,8,7,10,8,88,InterTwined_Being_Consulting,80
EcoSoberBrews,9,6,8,9,8,80,Dungeon_AI,78
Dungeon_AI,8,9,7,9,7,78,EcoSoberBrews,80
ConversAI,9,6,7,9,8,78,Anywhere_Hub,78
Anywhere_Hub,8,7,8,9,7,78,ConversAI,78
UNSubscribe,8,5,6,8,7,68,Validate_OK,72
Validate_OK,7,7,7,8,7,72,UNSubscribe,68
EndeavorDAO,8,6,7,9,6,72,Epochs_of_Pepe,78
Epochs_of_Pepe,7,9,8,9,7,78,EndeavorDAO,72
FitLifeForge,8,6,7,8,6,70,TruPetParent,70
TruPetParent,7,7,6,8,7,70,FitLifeForge,70
Restimuli,8,5,6,8,7,68,HappyBodyHub,68
HappyBodyHub,7,7,5,8,7,68,Restimuli,68
TheAIGameMaker,8,6,6,8,5,66,tinynews.ai,72
tinynews.ai,7,8,7,8,6,72,TheAIGameMaker,66
OnEdge,8,7,6,8,5,68,Automa,80
Automa,9,8,7,9,7,80,OnEdge,68
Sustainable_Chef,8,6,7,9,7,76,AI_Unbound,78
AI_Unbound,7,8,6,10,8,78,Sustainable_Chef,76
Black_Gold_Beauty,8,7,6,8,7,72,The_AI_Chef,82
The_AI_Chef,9,8,7,9,8,82,Black_Gold_Beauty,72
Custom_Text-to-3DPrint_Service,8,8,7,9,6,76,The_DevOps_Droid,80
The_DevOps_Droid,9,7,7,9,7,80,Custom_Text-to-3DPrint_Service,76
Coolman,8,6,7,9,6,68,VisionCraft_Productions,78
VisionCraft_Productions,9,8,6,9,7,78,Coolman,68
The_Iron_Ager,9,7,8,9,6,78,GPT-4_Mastery,84
GPT-4_Mastery,8,9,9,9,7,84,The_Iron_Ager,78
DearAIbby,8,5,7,9,6,70,Liang_Design,70
Liang_Design,6,8,5,9,7,70,DearAIbby,70
Second_Brain_OS,8,6,7,9,6,72,The_Coloring_Nook,70
The_Coloring_Nook,7,8,6,9,7,70,Second_Brain_OS,72
Herizon.io,9,8,9,9,8,86,SuperDroid_Robots,72
SuperDroid_Robots,8,7,7,8,7,72,Herizon.io,86
Astronomik,9,8,7,9,7,80,smarterhometechnology,75
smarterhometechnology,8,6,8,8,8,75,Astronomik,80
HarmonAIze_Project,8,7,7,9,6,74,FitnessGPT,68
FitnessGPT,7,6,6,8,7,68,HarmonAIze_Project,74
TweetSphere,9,6,8,9,7,78,upskillgpt,84
upskillgpt,8,8,9,9,8,84,TweetSphere,78
EcoSoberBrews,9,6,7,8,7,74,Grow_Wise,78
Grow_Wise,8,7,8,9,7,78,EcoSoberBrews,74
SylvanStride,8,7,6,8,6,70,ChatCode_Tutor,80
ChatCode_Tutor,9,8,7,9,7,80,SylvanStride,70
Atlas_Adventures,8,6,7,9,7,74,HigherEd.Tech,88
HigherEd.Tech,9,8,8,9,8,88,Atlas_Adventures,74
Let_AI_Try,8,7,8,9,7,76,Prodigy_Minds,84
Prodigy_Minds,9,8,7,9,8,84,Let_AI_Try,76
SpeakSphere,8,6,7,8,6,70,Neon_Lights,70
Neon_Lights,7,8,6,7,7,70,SpeakSphere,70
Vulnerable_Targets,8,7,7,9,7,76,GameDevGPT,86
GameDevGPT,9,8,6,10,8,86,Vulnerable_Targets,76
Pitch_Architect,9,7,5,9,8,78,Sustainable_Threads,76
Sustainable_Threads,8,6,8,9,7,76,Pitch_Architect,78
Iris_AI,9,8,7,9,8,82,Validate_OK,77
Validate_OK,8,7,7,9,8,77,Iris_AI,82
GPTbotwealth,8,6,7,9,7,75,Aidan_Virtuoso,77
Aidan_Virtuoso,7,7,8,9,8,77,GPTbotwealth,75
InterTwined_Being_Consulting,8,9,8,9,7,82,FitGPT,80
FitGPT,9,7,7,9,8,80,InterTwined_Being_Consulting,82
FitLifeForge,8,6,7,8,6,70,Dungeon_AI,75
Dungeon_AI,7,8,6,9,7,75,FitLifeForge,70
myGPTsherpa,8,6,7,8,6,70,tinynews.ai,70
tinynews.ai,7,7,6,8,7,70,myGPTsherpa,70
Epochs_of_Pepe,8,7,6,8,5,68,Rave_Resource,66
Rave_Resource,7,6,7,8,6,66,Epochs_of_Pepe,68
Automa,8,5,6,8,6,65,ConversAI,80
ConversAI,9,6,7,8,8,80,Automa,65
UNSubscribe,8,6,5,8,7,68,Anywhere_Hub,76
Anywhere_Hub,9,7,6,8,8,76,UNSubscribe,68
TruPetParent,8,6,5,8,6,66,AI_Unbound,72
AI_Unbound,6,8,6,9,7,72,TruPetParent,66
Restimuli,8,6,6,8,7,70,VisionCraft_Productions,68
VisionCraft_Productions,7,7,5,8,7,68,Restimuli,70
The_DevOps_Droid,8,6,5,8,6,66,HappyBodyHub,78
HappyBodyHub,9,7,7,8,7,78,The_DevOps_Droid,66
The_AI_Chef,8,7,6,9,6,68,EndeavorDAO,72
EndeavorDAO,7,8,7,9,7,72,The_AI_Chef,68
Sustainable_Chef,8,7,8,9,7,76,GPT-4_Mastery,86
GPT-4_Mastery,9,8,9,9,8,86,Sustainable_Chef,76
TheAIGameMaker,8,7,6,9,6,72,Second_Brain_OS,76
Second_Brain_OS,7,8,7,9,7,76,TheAIGameMaker,72
The_Iron_Ager,8,6,7,9,6,68,Black_Gold_Beauty,82
Black_Gold_Beauty,9,8,8,9,7,82,The_Iron_Ager,68
OnEdge,8,7,6,8,6,70,Coolman,86
Coolman,9,8,9,8,7,86,OnEdge,70
Custom_Text-to-3DPrint_Service,8,8,7,9,6,76,DearAIbby,74
DearAIbby,7,6,8,9,7,74,Custom_Text-to-3DPrint_Service,76
Herizon.io,9,8,9,9,7,88,upskillgpt,82
upskillgpt,8,9,8,9,7,82,Herizon.io,88
HarmonAIze_Project,8,7,7,8,6,70,HigherEd.Tech,82
HigherEd.Tech,9,8,8,9,7,82,HarmonAIze_Project,70
ChatCode_Tutor,9,7,7,9,8,78,SuperDroid_Robots,82
SuperDroid_Robots,8,8,9,9,7,82,ChatCode_Tutor,78
Astronomik,9,8,8,9,7,80,Grow_Wise,75
Grow_Wise,8,7,7,9,8,75,Astronomik,80
smarterhometechnology,9,6,8,9,8,80,Pitch_Architect,77
Pitch_Architect,8,9,6,9,7,77,smarterhometechnology,80
Prodigy_Minds,8,6,7,8,6,70,TweetSphere,85
TweetSphere,9,8,9,9,7,85,Prodigy_Minds,70
FitnessGPT,8,6,7,9,6,72,GameDevGPT,74
GameDevGPT,7,8,6,9,7,74,FitnessGPT,72
Atlas_Adventures,8,6,7,9,7,74,SpeakSphere,84
SpeakSphere,9,8,7,9,8,84,Atlas_Adventures,74
Aidan_Virtuoso,8,6,7,8,6,70,EcoSoberBrews,78
EcoSoberBrews,7,7,8,9,7,78,Aidan_Virtuoso,70
SylvanStride,8,7,6,9,6,72,Epochs_of_Pepe,72
Epochs_of_Pepe,7,8,6,9,7,72,SylvanStride,72
Iris_AI,9,8,8,9,7,82,Neon_Lights,82
Neon_Lights,8,9,9,8,7,82,Iris_AI,82
Vulnerable_Targets,8,7,8,9,7,78,Sustainable_Threads,68
Sustainable_Threads,7,6,7,8,6,68,Vulnerable_Targets,78
InterTwined_Being_Consulting,8,8,7,9,6,76,Let_AI_Try,78
Let_AI_Try,7,9,8,9,7,78,InterTwined_Being_Consulting,76
AI_Unbound,8,7,5,9,6,70,Anywhere_Hub,77
Anywhere_Hub,9,6,7,8,7,77,AI_Unbound,70
Dungeon_AI,8,7,6,9,6,68,ConversAI,80
ConversAI,9,6,7,8,8,80,Dungeon_AI,68
myGPTsherpa,8,6,5,8,6,66,Restimuli,80
Restimuli,9,7,7,9,7,80,myGPTsherpa,66
Validate_OK,8,6,5,8,7,68,GPTbotwealth,79
GPTbotwealth,9,7,6,9,8,79,Validate_OK,68
HappyBodyHub,8,6,6,8,7,70,EndeavorDAO,70
EndeavorDAO,7,8,7,9,6,70,HappyBodyHub,70
FitLifeForge,8,6,7,9,6,72,Rave_Resource,68
Rave_Resource,7,8,6,8,7,68,FitLifeForge,72
tinynews.ai,8,7,6,9,6,68,GPT-4_Mastery,80
GPT-4_Mastery,9,8,7,9,7,80,tinynews.ai,68
FitGPT,8,6,6,8,6,68,Second_Brain_OS,76
Second_Brain_OS,7,8,7,9,7,76,FitGPT,68
Automa,8,6,7,9,6,72,Custom_Text-to-3DPrint_Service,76
Custom_Text-to-3DPrint_Service,7,8,7,9,7,76,Automa,72
TruPetParent,8,6,5,8,6,65,UNSubscribe,77
UNSubscribe,9,7,6,8,7,77,TruPetParent,65
VisionCraft_Productions,8,6,5,8,6,65,The_DevOps_Droid,76
The_DevOps_Droid,9,7,6,9,7,76,VisionCraft_Productions,65
Coolman,8,5,7,9,6,70,The_AI_Chef,82
The_AI_Chef,9,8,7,9,7,82,Coolman,70
Liang_Design,8,6,4,8,7,70,Sustainable_Chef,66
Sustainable_Chef,7,7,6,7,6,66,Liang_Design,70
Black_Gold_Beauty,9,7,8,9,7,80,TheAIGameMaker,82
TheAIGameMaker,8,9,7,9,8,82,Black_Gold_Beauty,80
Realtor's_Docs,8,5,4,8,6,62,OnEdge,68
OnEdge,7,8,6,8,7,68,Realtor's_Docs,62
The_Coloring_Nook,8,6,5,9,6,68,DearAIbby,76
DearAIbby,7,8,7,9,7,76,The_Coloring_Nook,68
